district,n,share_pos,share_neu,share_neg,net_sentiment,opinionated,mean_score,name
north_laine,1524,0.463254593175853,0.318241469816273,0.21850393700787402,0.24475065616797897,0.681758530183727,0.22551955779393515,North Laine
kemptown,1309,0.43009931245225363,0.33689839572192515,0.23300229182582124,0.1970970206264324,0.6631016042780749,0.19889489947793318,Kemptown
hove,1397,0.39656406585540444,0.3700787401574803,0.23335719398711524,0.1632068718682892,0.6299212598425197,0.25499688094227163,Hove
seafront,1487,0.40685944855413586,0.34633490248823134,0.24680564895763282,0.16005379959650304,0.6536650975117687,0.11823225105538333,Seafront
the_lanes,1717,0.39895165987186954,0.3541059988351776,0.24694234129295284,0.1520093185789167,0.6458940011648224,0.14695964903767608,The Lanes
